AgencyCd,SiteNo,CasingDepthFrom,CasingDepthFromUnit,CasingDepthTo,CasingDepthToUnit,CasingMaterial,CasingDiameter,CasingDiameterUnit
"USGS",362714103071201,-2,feet,481.5,feet,"PVC or Plastic",2,"in"
"USGS",362714103071201,0,feet,311,feet,"Steel",12.75,"in"
"USGS",362714103071201,0,feet,604,feet,"Steel",8.62,"in"
"USGS",324620104255001,0.0,feet,"",feet,"",9,"in"
"NMBGMR","QU-004",0,feet,200.0,feet,"Unknown","","Unknown"
"NMBGMR","QU-004",0,feet,200.0,feet,"Unknown","","Unknown"
"NMBGMR","QU-004",0,feet,200.0,feet,"Unknown","","Unknown"
"NMBGMR","QU-004",0,feet,200.0,feet,"Unknown","","Unknown"
"USGS",355352104054201,1.31,feet,75,feet,"",10,"in"
"NMBGMR","TV-157","None",feet,"None",feet,"Unknown","","Unknown"
"NMBGMR","TV-196",0,feet,450.0,feet,"Unknown","","Unknown"
"NMBGMR","QU-100",0,feet,30.0,feet,"Unknown","","Unknown"
"USGS",364934108242601,0,feet,274.5,feet,"PVC or Plastic",2,"in"
"USGS",364826108234301,0,feet,20,feet,"PVC or Plastic",5.25,"in"
"USGS",364916108234301,0,feet,490,feet,"PVC or Plastic",5.25,"in"
"USGS",364916108234301,0.80,feet,490,feet,"PVC or Plastic",5.30,"in"
"USGS",364255108053202,1.87,feet,62.5,feet,"Steel",2,"in"
"USGS",360313107473401,-1.1,feet,82.,feet,"Steel",20.00,"in"
"USGS",360313107473401,-1.50,feet,945.,feet,"Steel",10.75,"in"
"USGS",360313107473401,5039.,feet,5687.,feet,"Steel",4.50,"in"
"USGS",360313107473401,945.,feet,5052.,feet,"Steel",7.00,"in"
"USGS",360313107473401,"",feet,"",feet,"","","Unknown"
"USGS",354915107191901,0.,feet,502.,feet,"Steel",6.62,"in"
"USGS",354731106072002,0.00,feet,1340,feet,"PVC or Plastic",2.50,"in"
"USGS",321332106443701,-3,feet,307,feet,"Steel",4,"in"
"USGS",321740106481001,-3,feet,332,feet,"PVC or Plastic",5.56,"in"
"USGS",322323106314701,0,feet,"",feet,"PVC or Plastic",4,"in"
"USGS",325115105321401,-1.22,feet,120.00,feet,"Steel",8.00,"in"
"NMBGMR","SM-0049",0,feet,310.0,feet,"Unknown","","Unknown"
"NMBGMR","SM-0246",0,feet,22.0,feet,"Unknown","","Unknown"
"NMBGMR","TB-0084","None",feet,"None",feet,"Unknown","","Unknown"
"NMBGMR","TB-0029","None",feet,"None",feet,"Unknown","","Unknown"
"NMBGMR","TB-0203","None",feet,"None",feet,"Unknown","","Unknown"
"NMBGMR","MG-030",0,feet,420.0,feet,"Unknown","","Unknown"
"NMBGMR","MG-038","None",feet,"None",feet,"Unknown","","Unknown"
"USGS",342107106530401,-0.50,feet,223.00,feet,"PVC or Plastic",4.50,"in"
"USGS",343753106430602,-1.57,feet,1200.00,feet,"PVC or Plastic",2.50,"in"
"USGS",344431106393403,-1.57,feet,275.00,feet,"PVC or Plastic",2.5,"in"
"USGS",344431106393402,-1.60,feet,710.00,feet,"PVC or Plastic",2.50,"in"
"USGS",350056106370102,-1.35,feet,708.00,feet,"PVC or Plastic",2.5,"in"
"USGS",350306107263401,-1.00,feet,97.00,feet,"Steel",6.00,"in"
"USGS",350603107485801,0.00,feet,76.00,feet,"",6.00,"in"
"USGS",350923107522701,0.00,feet,"",feet,"",16.00,"in"
"USGS",351040106482801,"",feet,"",feet,"","","Unknown"
"USGS",351114106330602,-2.33,feet,1193.00,feet,"PVC or Plastic",2.5,"in"
"USGS",351304107543701,0.00,feet,205.00,feet,"Steel",18.0,"in"
"USGS",351515106410402,-.90,feet,835.00,feet,"Steel",2.5,"in"
"USGS",351821106333902,0,feet,315,feet,"PVC or Plastic",2.50,"in"
"USGS",353659107564101,-1.01,feet,2041.00,feet,"Other material",6.40,"in"
"USGS",353700107563901,-1.70,feet,1845.00,feet,"Steel",4.33,"in"
"USGS",353824106040902,0.00,feet,1075,feet,"PVC or Plastic",2.50,"in"
"USGS",353945105574502,-2.7,feet,1025,feet,"Steel",2,"in"
"USGS",353945105574502,1030,feet,1060,feet,"Steel",2,"in"
"USGS",354017108445201,-1.00,feet,359.00,feet,"Steel",6.63,"in"
"USGS",354056106215801,-2.32,feet,1295.00,feet,"PVC or Plastic",2.50,"in"
"USGS",354228106044903,0.00,feet,450.00,feet,"PVC or Plastic",2.50,"in"
"USGS",354228106044902,0.00,feet,1320.00,feet,"PVC or Plastic",2.50,"in"
"USGS",354235108170703,0.00,feet,54.00,feet,"Steel",8.62,"in"
"USGS",354235108170703,54.00,feet,1587.00,feet,"Steel",6.62,"in"
"USGS",354235108170702,-0.80,feet,1820.00,feet,"Steel",8.62,"in"
