AgencyCd,SiteNo,ScreenDepthFrom,ScreenDepthFromUnit,ScreenDepthTo,ScreenDepthToUnit,holeSize,holeSizeUnit,ScreenMaterial,ScreenDiameter,ScreenDiameterUnit
"USGS",362714103071201,481.5,feet,513,feet,"","","PVC threaded",2,"in"
"USGS",362714103071201,490,feet,525,feet,"","","Steel",5.0,"in"
"USGS",362714103071201,575,feet,604,feet,"","","Steel",5.,"in"
"USGS",324620104255001,726,feet,1008,feet,"","","Screen, Type Not Known","","Unknown"
"NMBGMR","QU-004",135.0,feet,160.0,feet,"","","Unknown","","Unknown"
"NMBGMR","QU-004",215.0,feet,230.0,feet,"","","Unknown","","Unknown"
"NMBGMR","QU-004",245.0,feet,295.0,feet,"","","Unknown","","Unknown"
"NMBGMR","QU-004",200.0,feet,210.0,feet,"","","Unknown","","Unknown"
"USGS",355352104054201,0.0,feet,75,feet,"","","Screen, Type Not Known",10,"in"
"NMBGMR","TV-157",300.0,feet,340.0,feet,"","","Unknown","","Unknown"
"NMBGMR","TV-196",350.0,feet,450.0,feet,"","","Unknown","","Unknown"
"NMBGMR","QU-100",25.0,feet,30.0,feet,"","","Unknown","","Unknown"
"USGS",364934108242601,274.5,feet,290.0,feet,"","","PVC, Fbrgls/Plst",2,"in"
"USGS",364826108234301,20,feet,60,feet,"","","PVC, Fbrgls/Plst",5.25,"in"
"USGS",364916108234301,490,feet,600,feet,"","","PVC, Fbrgls/Plst",5.25,"in"
"USGS",364916108234301,490,feet,600,feet,"","","PVC, Fbrgls/Plst",5.30,"in"
"USGS",364255108053202,55.90,feet,61.01,feet,"","","Steel",2,"in"
"USGS",360313107473401,4650,feet,4671,feet,"","","Steel",7.00,"in"
"USGS",360313107473401,4650,feet,4671,feet,"","","Steel",7.00,"in"
"USGS",360313107473401,4746,feet,4777,feet,"","","Steel",7.00,"in"
"USGS",360313107473401,4746,feet,4777,feet,"","","Steel",7.00,"in"
"USGS",360313107473401,4843,feet,5030,feet,"","","Steel",7.00,"in"
"USGS",360313107473401,4843,feet,5030,feet,"","","Steel",7.00,"in"
"USGS",360313107473401,5519,feet,5686,feet,"","","Steel",4.50,"in"
"USGS",354915107191901,405,feet,425,feet,"","","Steel",6.62,"in"
"USGS",354915107191901,440,feet,470,feet,"","","Steel",6.62,"in"
"USGS",354915107191901,475,feet,485,feet,"","","Steel",6.62,"in"
"USGS",354731106072002,1300,feet,1330,feet,"","","Stainless Steel",2.50,"in"
"USGS",321332106443701,297.0,feet,302.0,feet,"","","Stainless Steel",4.0,"in"
"USGS",321740106481001,322,feet,327,feet,"","","Stainless Steel",5.5,"in"
"USGS",322323106314701,125,feet,285,feet,"","","PVC, Fbrgls/Plst",4,"in"
"USGS",325115105321401,35.00,feet,120.00,feet,"","","Steel","","Unknown"
"NMBGMR","SM-0049",280.0,feet,310.0,feet,"","","Unknown","","Unknown"
"NMBGMR","SM-0246","None",feet,"None",feet,"","","Unknown","","Unknown"
"NMBGMR","TB-0084","None",feet,"None",feet,"","","Unknown","","Unknown"
"NMBGMR","TB-0029","None",feet,"None",feet,"","","Unknown","","Unknown"
"NMBGMR","TB-0203","None",feet,"None",feet,"","","Unknown","","Unknown"
"NMBGMR","MG-030",380.0,feet,420.0,feet,"","","Unknown","","Unknown"
"NMBGMR","MG-038","None",feet,"None",feet,"","","Unknown","","Unknown"
"USGS",342107106530401,210.00,feet,220.00,feet,"","","PVC, Fbrgls/Plst",4.50,"in"
"USGS",343753106430602,675.00,feet,685.00,feet,"","","Stainless Steel",2.50,"in"
"USGS",344431106393403,225.00,feet,265.00,feet,"","","Stainless Steel",2.50,"in"
"USGS",344431106393402,695.00,feet,705.00,feet,"","","Stainless Steel",2.5,"in"
"USGS",350056106370102,698.00,feet,703.00,feet,"","","Stainless Steel",2.5,"in"
"USGS",350306107263401,0.00,feet,97.00,feet,"","","Steel","","Unknown"
"USGS",350603107485801,60.00,feet,76.00,feet,"","","Steel",6.00,"in"
"USGS",350923107522701,50,feet,150,feet,"","","Screen, Type Not Known",12,"in"
"USGS",351040106482801,1720,feet,1730,feet,"","","Stainless Steel","","Unknown"
"USGS",351114106330602,1183.00,feet,1188.00,feet,"","","Stainless Steel",2.5,"in"
"USGS",351304107543701,95.00,feet,130.00,feet,"","","Steel",16.00,"in"
"USGS",351515106410402,810.00,feet,830.00,feet,"","","Stainless Steel",2.5,"in"
"USGS",351821106333902,300,feet,310,feet,"","","Stainless Steel",2.50,"in"
"USGS",353659107564101,2041.00,feet,2094.00,feet,"","","Steel",6.40,"in"
"USGS",353700107563901,1845.00,feet,1888.00,feet,"","","Steel",4.33,"in"
"USGS",353824106040902,1045,feet,1065,feet,"","","Steel",2.50,"in"
"USGS",353945105574502,1025,feet,1030,feet,"","","Stainless Steel",2,"in"
"USGS",354017108445201,297.00,feet,305.00,feet,"","","Screen, Type Not Known","","Unknown"
"USGS",354056106215801,1280.00,feet,1290.00,feet,"","","Stainless Steel",2.50,"in"
"USGS",354228106044903,380.00,feet,440.00,feet,"","","PVC, Fbrgls/Plst",2.50,"in"
"USGS",354228106044902,1290.00,feet,1310.00,feet,"","","Stainless Steel",2.50,"in"
"USGS",354235108170703,1587.00,feet,1728.00,feet,"","","Screen, Type Not Known",6.62,"in"
"USGS",354235108170702,1820.00,feet,2225.00,feet,"","","Stainless Steel",0.10,"in"
